,Bankrupt,TA,GP,Sales,Cash,LT Debt,Inventories,Current liabilities,Retained earnings,Current assets,EBIT,Operating income,ROA,ROE,ROS,NI,WC
6488,,43638000,1563000,28072000,40000.0,,33521000.0,43725000.0,-97000.0,43036000,78000.0,380000.0,,-0.0114,,1000.0,-87000.0
6489,,57477000,22674000,67761000,253000.0,,48345000.0,57804000.0,-337000.0,56824000,93000.0,6195000.0,0.0017,-0.249,0.0014,93000.0,-327000.0
6490,,55873000,23781000,85381000,758000.0,4267000.0,34171000.0,55457000.0,-3861000.0,54767000,120000.0,1459000.0,0.0017,-0.0246,0.0011,96000.0,-3851000.0
6491,,16233000,5016000,5068000,77000.0,,64000.0,10934000.0,3451000.0,1412000,63000.0,-1155000.0,0.0003,0.0009,0.001,5000.0,5299000.0
6492,,11793000,907000,20331000,2000.0,,825000.0,11986000.0,-203000.0,9927000,-203000.0,907000.0,-0.0169,1.1278,-0.01,-203000.0,-193000.0
6493,2017-12-07,304775000,20339000,20339000,6028000.0,1848000.0,,207427000.0,51079000.0,130152000,18892000.0,18903000.0,,,0.7421,15094000.0,182820000.0
6494,,16866000,2477000,16324000,1465000.0,986000.0,10525000.0,13985000.0,1885000.0,15966000,389000.0,671000.0,0.0218,0.176,0.0191,311000.0,1895000.0
6495,,40981000,10281000,105820000,,,35598000.0,39370000.0,1601000.0,37546000,1074000.0,1772000.0,0.0226,0.3433,0.0081,859000.0,1611000.0
6496,,54308000,153000,153000,1000.0,,826000.0,49495000.0,4803000.0,51289000,-2131000.0,-2311000.0,-0.0383,-0.3625,-13.9281,-2131000.0,4813000.0
6497,,891812000,177966000,1025424000,90000.0,185009000.0,21684000.0,697757000.0,9036000.0,891397000,-429561000.0,-3755013000.0,-0.4644,-46.3839,-0.4189,-429561000.0,9046000.0
6498,,26246000,5169000,342035000,9995000.0,,,22880000.0,3356000.0,26234000,3417000.0,4172000.0,0.0814,1.366,0.008,2732000.0,3366000.0
6499,,1882000,132000,9457000,69000.0,765000.0,1048000.0,2018000.0,-977000.0,1846000,-1217000.0,-215000.0,-0.7505,4.1607,-0.1287,-1217000.0,-901000.0
6500,,444000,21000,339000,,,,427000.0,17000.0,400000,21000.0,21000.0,0.0766,2.0,0.0501,17000.0,17000.0
6501,,661000,96000,1063000,224000.0,,,477000.0,184000.0,302000,72000.0,96000.0,0.0259,0.2078,0.0376,40000.0,184000.0
6502,,9140000,770000,6250000,11000.0,,6302000.0,3252000.0,4555000.0,9103000,510000.0,506000.0,0.059,0.0848,0.0766,479000.0,5888000.0
6503,,37486000,3910000,9328000,4964000.0,1000.0,11565000.0,17963000.0,13809000.0,36029000,656000.0,539000.0,0.0153,0.0273,0.0563,525000.0,19522000.0
6504,,74124000,138000,2017000,94000.0,11393000.0,21020000.0,50122000.0,12579000.0,55062000,4000.0,136000.0,,0.0002,0.0015,3000.0,12609000.0
6505,,541989000,61574000,163228000,92727000.0,,290826000.0,752973000.0,-210994000.0,448933000,14334000.0,61574000.0,0.0255,-0.0661,0.0878,14334000.0,-210984000.0
6506,,1811000,1770000,2935000,,642000.0,4000.0,3877000.0,-4600000.0,1342000,1325000.0,1770000.0,0.8261,-0.3931,0.4514,1325000.0,-1633000.0
6507,,30316000,2093000,11625000,733000.0,9934000.0,14438000.0,17079000.0,3001000.0,30006000,184000.0,181000.0,0.0041,0.0313,0.0101,117000.0,3303000.0
6508,,62063000,464000,464000,637000.0,3000.0,682000.0,32142000.0,29191000.0,15279000,-9401000.0,-10218000.0,-0.1384,-0.269,-20.2608,-9401000.0,29918000.0
6509,,138305000,21483000,160894000,9925000.0,,56263000.0,108599000.0,29696000.0,123650000,2484000.0,6446000.0,0.0141,0.0585,0.0105,1689000.0,29706000.0
6510,,10033000,1695000,20574000,,,701000.0,7198000.0,708000.0,6389000,940000.0,1695000.0,0.0868,0.3058,0.0366,752000.0,3132000.0
6511,,1852096000,34569000,702006000,1446000.0,187065000.0,354468000.0,1742598000.0,-85445000.0,962913000,-12550000.0,34569000.0,-0.0129,0.3072,-0.0294,-20657000.0,-77567000.0
6512,,26929000,1575000,126746000,8906000.0,,15636000.0,19649000.0,7270000.0,26706000,1133000.0,1575000.0,0.0179,0.1081,0.0064,806000.0,7280000.0
6513,,247163000,337000,5572000,,43059000.0,232528000.0,205398000.0,-1304000.0,245810000,-340000.0,-97000.0,-0.0016,0.3732,-0.073,-407000.0,-1294000.0
6514,,442664000,48844000,192433000,17000.0,11026000.0,136456000.0,293808000.0,137818000.0,198803000,29303000.0,42715000.0,0.0408,0.1751,0.1173,22563000.0,137830000.0
6515,,143887000,90245000,200634000,703000.0,,12482000.0,58517000.0,85287000.0,98633000,19664000.0,25876000.0,0.1197,0.181,0.0703,14103000.0,85370000.0
6516,,24184000,233000,4307000,3000.0,,11995000.0,23561000.0,613000.0,23587000,4000.0,26000.0,0.0001,0.0048,0.0007,3000.0,623000.0
6517,,51482000,11339000,132847000,20527000.0,,614000.0,39919000.0,11548000.0,48243000,9267000.0,11339000.0,0.1597,0.516,0.0527,6999000.0,11563000.0
6518,,21930000,995000,45362000,316000.0,,4600000.0,11236000.0,10674000.0,21512000,414000.0,537000.0,0.007,0.0312,0.0072,328000.0,10694000.0
6519,,370562000,3740000,34099000,8401000.0,130236000.0,8299000.0,130847000.0,55881000.0,90749000,18052000.0,3740000.0,0.0145,0.2126,0.4725,16112000.0,109479000.0
6520,,101244000,13061000,66495000,55666000.0,,815000.0,64441000.0,36793000.0,91324000,6629000.0,7869000.0,0.056,0.1044,0.0794,5279000.0,36803000.0
6521,,168542000,6708000,55672000,25000.0,,13913000.0,139738000.0,28794000.0,165090000,72000.0,-450000.0,0.0004,0.0018,0.001,58000.0,28804000.0
6522,,116678000,31669000,292021000,2377000.0,,13561000.0,103665000.0,12993000.0,105678000,3415000.0,8322000.0,0.0188,0.164,0.0068,1972000.0,13013000.0
6523,,14033000,2177000,20269000,1105000.0,,6793000.0,13236000.0,697000.0,12138000,595000.0,611000.0,0.0556,1.2185,0.0344,697000.0,797000.0
6524,,23620000,9252000,79779000,18330000.0,,1533000.0,20709000.0,2902000.0,23356000,522000.0,1950000.0,0.0201,0.1539,0.0052,416000.0,2911000.0
